[27-Sep-2023 09:42:42 UTC] PHP Warning:  Undefined variable $stats_number_3 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 37
[27-Sep-2023 09:58:29 UTC] PHP Warning:  Undefined variable $stats_title_1 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 28
[27-Sep-2023 09:58:29 UTC] PHP Warning:  Undefined variable $stats_number_1 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 29
[27-Sep-2023 09:58:29 UTC] PHP Warning:  Undefined variable $stats_title_2 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 32
[27-Sep-2023 09:58:29 UTC] PHP Warning:  Undefined variable $stats_number_2 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 33
[27-Sep-2023 09:58:29 UTC] PHP Warning:  Undefined variable $stats_title_3 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 36
[27-Sep-2023 09:58:29 UTC] PHP Warning:  Undefined variable $stats_number_3 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 37
[27-Sep-2023 10:00:59 UTC] PHP Warning:  Undefined variable $stats_title_1 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 28
[27-Sep-2023 10:00:59 UTC] PHP Warning:  Undefined variable $stats_number_1 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 29
[27-Sep-2023 10:00:59 UTC] PHP Warning:  Undefined variable $stats_title_2 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 32
[27-Sep-2023 10:00:59 UTC] PHP Warning:  Undefined variable $stats_number_2 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 33
[27-Sep-2023 10:00:59 UTC] PHP Warning:  Undefined variable $stats_title_3 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 36
[27-Sep-2023 10:00:59 UTC] PHP Warning:  Undefined variable $stats_number_3 in /Users/akramtello/Local Sites/fundedn/app/public/wp-content/themes/fundedx/blocks/module-page-header.php on line 37
